Date;Price(EUR/Ons)
25.02.2016;658.1900
26.02.2016;656.4367
29.02.2016;664.1933
1.03.2016;673.2567
2.03.2016;670.5567
3.03.2016;671.4500
4.03.2016;676.3733
7.03.2016;682.4800
8.03.2016;694.1900
9.03.2016;691.8833
10.03.2016;682.4767
11.03.2016;676.9633
14.03.2016;670.2500
15.03.2016;665.1400
16.03.2016;665.0400
17.03.2016;669.8267
18.03.2016;666.9467
21.03.2016;662.8233
22.03.2016;671.9833
23.03.2016;664.1600
24.03.2016;652.4633
25.03.2016;650.4000
28.03.2016;648.7433
29.03.2016;650.7067
30.03.2016;655.2533
31.03.2016;651.2567
1.04.2016;642.5367
4.04.2016;640.5033
5.04.2016;646.9267
6.04.2016;641.5100
7.04.2016;645.1200
8.04.2016;644.9067
11.04.2016;656.5667
12.04.2016;661.0500
13.04.2016;663.9367
14.04.2016;666.2033
15.04.2016;660.4933
18.04.2016;660.8567
19.04.2016;666.4567
20.04.2016;505.0067
21.04.2016;674.6767
22.04.2016;676.6333
25.04.2016;668.0133
26.04.2016;668.7200
27.04.2016;671.6567
28.04.2016;673.0833
29.04.2016;690.6967
2.05.2016;694.6833
3.05.2016;689.4033
4.05.2016;690.2433
5.05.2016;686.8833
6.05.2016;691.6667
9.05.2016;687.3167
10.05.2016;680.9700
11.05.2016;689.1767
12.05.2016;686.5000
13.05.2016;686.6300
16.05.2016;691.2267
17.05.2016;689.4067
18.05.2016;684.6333
20.05.2016;679.6700
23.05.2016;674.9933
24.05.2016;674.6200
25.05.2016;670.8667
26.05.2016;669.5300
27.05.2016;663.5467
30.05.2016;656.6033
31.05.2016;658.0067
1.06.2016;659.3167
2.06.2016;661.0967
3.06.2016;660.1267
6.06.2016;654.1667
7.06.2016;658.5733
8.06.2016;668.9367
9.06.2016;670.6833
10.06.2016;671.4567
13.06.2016;678.9633
14.06.2016;680.2667
15.06.2016;676.7667
16.06.2016;684.5467
17.06.2016;677.3833
20.06.2016;668.4667
21.06.2016;669.1833
22.06.2016;667.5833
23.06.2016;659.2300
24.06.2016;699.8733
27.06.2016;702.5533
28.06.2016;693.3233
29.06.2016;702.2767
30.06.2016;700.5467
1.07.2016;716.1133
8.07.2016;741.2200
11.07.2016;745.7167
12.07.2016;739.6300
13.07.2016;739.8967
14.07.2016;729.2500
15.07.2016;728.6567
18.07.2016;736.2433
19.07.2016;734.4267
20.07.2016;737.1600
21.07.2016;730.7633
22.07.2016;735.0333
25.07.2016;736.9200
26.07.2016;730.1867
27.07.2016;741.5433
28.07.2016;739.6533
29.07.2016;748.7833
1.08.2016;752.6733
2.08.2016;759.6700
3.08.2016;760.3467
4.08.2016;757.8633
5.08.2016;756.6833
8.08.2016;752.6467
9.08.2016;751.3300
10.08.2016;762.7800
11.08.2016;760.6833
12.08.2016;748.4267
15.08.2016;736.7567
16.08.2016;735.0900
17.08.2016;731.5267
18.08.2016;732.7467
